@relation R_data_frame

@attribute Jitter->F0_abs_dif numeric
@attribute Jitter->F0_dif_percent numeric
@attribute Jitter->F0_PQ5_classical_Schoentgen numeric
@attribute Jitter->F0_abs0th_perturb numeric
@attribute Jitter->F0_TKEO_mean numeric
@attribute Jitter->F0_TKEO_prc5 numeric
@attribute Jitter->F0_TKEO_prc25 numeric
@attribute Jitter->F0_TKEO_prc75 numeric
@attribute Jitter->F0_TKEO_prc95 numeric
@attribute Jitter->F0_FM numeric
@attribute Jitter->F0range_5_95_perc numeric
@attribute Jitter->pitch_percent numeric
@attribute Jitter->pitch_PQ5_classical_Schoentgen numeric
@attribute Jitter->pitch_CV numeric
@attribute Jitter->pitch_FM numeric
@attribute Shimmer->Ampl_TKEO_prc25 numeric
@attribute HNR->HNR_dB_Praat_std numeric
@attribute DFA numeric
@attribute PPE numeric
@attribute VFER->SNR_SEO numeric
@attribute IMF->SNR_SEO numeric
@attribute IMF->SNR_TKEO numeric
@attribute IMF->SNR_entropy numeric
@attribute IMF->NSR_SEO numeric
@attribute IMF->NSR_entropy numeric
@attribute 'Log energy' numeric
@attribute 'MFCC_0th coef' numeric
@attribute 'MFCC_1st coef' numeric
@attribute 'MFCC_2nd coef' numeric
@attribute 'MFCC_3rd coef' numeric
@attribute '12th delta' numeric
@attribute std_F0_series_F0_expTitze numeric
@attribute prc95_5_F0_series_F0_expTitze numeric
@attribute Ed_3_coef numeric
@attribute Ed_5_coef numeric
@attribute Ed_6_coef numeric
@attribute entropy_shannon_5_coef numeric
@attribute entropy_shannon_6_coef numeric
@attribute entropy_shannon_8_coef numeric
@attribute entropy_shannon_9_coef numeric
@attribute entropy_shannon_10_coef numeric
@attribute entropy_log_2_coef numeric
@attribute entropy_log_3_coef numeric
@attribute entropy_log_4_coef numeric
@attribute entropy_log_5_coef numeric
@attribute entropy_log_6_coef numeric
@attribute entropy_log_8_coef numeric
@attribute entropy_log_9_coef numeric
@attribute det_TKEO_mean_3_coef numeric
@attribute det_TKEO_mean_5_coef numeric
@attribute det_TKEO_mean_6_coef numeric
@attribute det_TKEO_mean_8_coef numeric
@attribute det_TKEO_mean_9_coef numeric
@attribute det_TKEO_mean_10_coef numeric
@attribute det_TKEO_std_5_coef numeric
@attribute det_TKEO_std_6_coef numeric
@attribute det_TKEO_std_8_coef numeric
@attribute det_TKEO_std_9_coef numeric
@attribute det_TKEO_std_10_coef numeric
@attribute Ed2_3_coef numeric
@attribute Ed2_5_coef numeric
@attribute Ed2_6_coef numeric
@attribute Ed2_8_coef numeric
@attribute entropy_shannon3_3_coef numeric
@attribute entropy_shannon3_5_coef numeric
@attribute det_TKEO_mean3_3_coef numeric
@attribute det_TKEO_mean3_5_coef numeric
@attribute det_TKEO_mean3_6_coef numeric
@attribute det_TKEO_std3_6_coef numeric
@attribute entropy_shannon4_5_coef numeric
@attribute entropy_shannon4_6_coef numeric
@attribute entropy_shannon4_7_coef numeric
@attribute entropy_shannon4_8_coef numeric
@attribute entropy_shannon4_9_coef numeric
@attribute entropy_shannon4_10_coef numeric
@attribute entropy_log4_1_coef numeric
@attribute entropy_log4_2_coef numeric
@attribute entropy_log4_3_coef numeric
@attribute entropy_log4_4_coef numeric
@attribute entropy_log4_5_coef numeric
@attribute entropy_log4_6_coef numeric
@attribute entropy_log4_7_coef numeric
@attribute entropy_log4_8_coef numeric
@attribute entropy_log4_9_coef numeric
@attribute entropy_log4_10_coef numeric
@attribute det_TKEO_mean4_1_coef numeric
@attribute det_TKEO_mean4_2_coef numeric
@attribute det_TKEO_mean4_3_coef numeric
@attribute det_TKEO_mean4_4_coef numeric
@attribute det_TKEO_mean4_5_coef numeric
@attribute det_TKEO_mean4_6_coef numeric
@attribute det_TKEO_mean4_7_coef numeric
@attribute det_TKEO_mean4_8_coef numeric
@attribute det_TKEO_mean4_9_coef numeric
@attribute det_TKEO_mean4_10_coef numeric
@attribute det_TKEO_std4_1_coef numeric
@attribute det_TKEO_std4_2_coef numeric
@attribute det_TKEO_std4_3_coef numeric
@attribute det_TKEO_std4_4_coef numeric
@attribute det_TKEO_std4_5_coef numeric
@attribute det_TKEO_std4_6_coef numeric
@attribute det_TKEO_std4_7_coef numeric
@attribute det_TKEO_std4_8_coef numeric
@attribute det_TKEO_std4_9_coef numeric
@attribute det_TKEO_std4_10_coef numeric
@attribute class {1,2}

@data
0.032581,0.024174,0.00028,0.906992,17.916749,-1.421599,-0.574857,-0.007459,0.601376,0.030628,4.013258,0.024294,0.000281,0,0.030628,-0.050049,2.095561,0.651471,0.001055,5035.720355,1.050708,0.319843,1.647619,0.136563,0.147331,5.512163,2.863375,8.946254,-0.60117,-0.47364,0.000745,1.158897,4.013258,0.000002,0.000036,0.000044,-136.448089,-78.611753,-5509.050131,-2692.941055,-2346.642813,-2951.586935,-939.417594,-207.708241,-39.035542,4.70041,26.769404,20.121167,0.017166,1.394982,2.513078,64.307899,43.297535,68.359388,4.929221,4.844911,202.081793,122.838746,144.61484,0,0.000002,0.000002,0.000028,0.001861,0.032367,0.000001,0.000079,0.00014,0.00027,-393076.6272,-518047.7556,-738496.3603,-1174953.409,-2073057.583,-3953650.877,3900.122835,2333.249346,1383.110272,827.289301,511.603252,337.471149,240.846034,191.841338,169.418788,161.673114,0.095105,0.374574,1.451377,5.497024,19.857279,66.472831,203.810977,555.932038,1359.163473,3058.306454,2.135337,5.987349,16.65658,45.664487,122.416506,315.209203,775.269129,1799.191348,3954.80686,8351.598804,1
0.037592,0.025793,0.000306,0.968243,21.916628,-1.765231,-0.68764,0.015272,0.685106,0.021735,3.690702,0.025753,0.000306,0,0.021735,-0.039827,1.978125,0.59739,0.001055,8897.618863,1.073637,0.474807,1.957171,0.15537,0.164208,6.190383,3.942383,8.159123,0.606269,0.805619,-0.000641,1.201899,3.690702,0.000001,0.000023,0.000128,-24.831683,-970.1789,-3397.322133,-8683.643176,-2642.340491,-3122.484294,-803.91393,-242.928887,-37.36836,9.878116,16.056334,8.322222,0.011566,1.033451,13.213202,66.826898,116.314661,75.476341,1.781816,19.795072,85.150674,313.048687,150.05176,0,0.000001,0.000005,0.000015,0.000982,0.015689,0.000001,0.000049,0.000619,0.000916,-408104.0327,-538005.557,-767395.0426,-1221692.067,-2156649.735,-4114398.688,3932.054461,2349.491225,1391.50756,831.763894,514.115369,339.002154,241.870514,192.611517,170.062201,162.253466,0.098077,0.386629,1.503995,5.689267,20.536579,68.755254,210.861141,575.151044,1406.178818,3164.596292,2.199489,6.172819,17.19479,47.249466,126.589594,326.07256,801.48639,1859.154995,4088.830256,8638.19511,1
0.077996,0.035679,0.000413,2.97533,49.020883,-3.56918,-1.305347,0.07468,1.394955,0.037148,12.582746,0.035833,0.000414,0.000001,0.037148,-0.031726,2.941156,0.546407,0.00211,246.615703,0.33413,0.091477,0.841218,0.067193,0.09156,6.515752,5.874623,7.659653,-2.035622,-2.14393,0.000413,3.684355,12.582746,0.000001,0.000005,0.000077,1.548482,-698.432229,-74036.3722,-2599.87727,-11066.28301,-2912.976236,-814.938245,-251.958686,-105.744908,17.590243,51.492709,27.907626,0.041777,0.427103,9.932298,495.282961,64.311935,177.606216,0.761737,19.518437,1594.024335,136.64628,439.325597,0,0,0.000003,0.000062,0.00155,0.003729,0.000001,0.000009,0.000206,0.000405,-488750.4564,-643242.1733,-916360.6962,-1457666.246,-2571282.315,-4901802.618,4089.593268,2429.459095,1432.690198,853.553925,526.209312,346.246916,246.610454,196.101647,172.926799,164.805525,0.115119,0.454059,1.763649,6.675114,24.102929,80.669989,247.234531,674.446973,1648.907286,3710.30809,2.585478,7.250586,20.194182,55.43421,148.532297,382.323028,939.260746,2182.546624,4796.891458,10136.17443,1
0.040918,0.019845,0.000218,0.860758,47.992334,-3.760648,-1.576814,-0.037755,1.535225,0.021747,3.715106,0.019753,0.000217,0.000001,0.021747,-0.03186,1.17191,0.550982,0.0047,2446.104558,0.303242,0.103153,0.780847,0.101042,0.12305,7.329617,8.424531,7.032126,-1.498503,-0.22465,-0.002216,1.102144,3.715106,0.000005,0.000021,0.000061,-132.972711,-659.900964,-5445.562754,-13500.15357,-8597.151752,-2741.790007,-667.484439,-219.923675,-68.087917,5.481117,1.020438,14.827571,0.112644,1.76987,9.510104,83.545221,277.335117,158.402143,7.835481,28.360843,178.277705,709.384218,296.479624,0,0.000001,0.000002,0.000008,0.003588,0.011344,0.000003,0.000041,0.00022,0.000655,-476825.78,-627856.4456,-894797.4972,-1423715.154,-2511757.962,-4788806.853,4067.686916,2418.352362,1426.983182,850.546744,524.551657,345.264603,245.973737,195.635519,172.544989,164.465421,0.113399,0.446763,1.736193,6.569186,23.713139,79.372405,243.356109,663.549958,1621.607526,3647.748494,2.541635,7.130606,19.866757,54.558962,146.142235,376.288468,926.961136,2150.681204,4723.732247,9978.936441,1
0.429483,0.344738,0.003932,2.6683,60.635831,-33.187796,-13.471016,-2.160318,12.821038,0.239481,9.22709,0.320832,0.003731,0.000044,0.239481,-0.025888,2.255522,0.517747,0.189258,191.536423,0.067033,0.01162,0.308563,0.039108,0.063766,8.839349,11.206451,5.0167,-4.82839,-2.115212,-0.004028,4.652465,9.22709,0.0004,0.004528,0.010846,-61185.34269,-144735.3774,-232178.01,-1511524.095,-3043146.516,-1311.312371,4.579636,136.48874,109.76633,70.388268,52.102762,59.158613,2.390138,227.241012,960.319621,2054.428216,15471.91843,47994.07332,911.712383,3202.87635,5196.516666,43705.00868,107244.1283,0.000023,0.000188,0.000455,0.000605,0.324102,1.085712,0.000132,0.01019,0.044101,0.143235,-387395.6751,-518485.0786,-751933.7345,-1217210.673,-2176626.742,-4186240.66,3868.025673,2317.703204,1375.853114,824.179702,510.557309,337.448128,241.286035,192.50946,170.193121,162.493417,0.103133,0.410425,1.617926,6.103039,21.963477,73.324764,224.169699,609.44404,1482.851694,3320.424731,2.320771,6.478952,18.419832,50.725152,134.98676,346.039697,866.71068,2012.772746,4406.156092,9277.26219,1
0.078691,0.021119,0.000248,1.806555,143.972136,-9.725394,-4.123978,0.065889,3.942959,0.015574,7.639433,0.021085,0.000247,0,0.015574,-0.010471,1.820317,0.523276,0,2504.775213,0.002349,0.000011,0.095169,0.04747,0.080172,7.065898,4.223307,6.216951,-1.159854,-1.882369,0.002129,2.276455,7.639433,0.000001,0.000008,0.00004,-205.366293,-2190.927961,-10877.78647,-4297.705391,-11597.7485,-2643.050888,-548.402975,-178.18859,-10.899212,32.908141,33.388031,16.982906,0.109964,1.767338,19.363284,173.565505,52.163449,165.84817,3.926967,36.978904,208.442272,132.015766,417.868105,0,0,0.000001,0.000004,0.001259,0.007566,0.000001,0.000013,0.000139,0.000264,-606621.1476,-796418.002,-1132312.698,-1797882.34,-3166415.212,-6028122.971,4279.745052,2525.950438,1482.351304,879.800107,540.748184,354.933559,252.277294,200.255554,176.32415,167.824439,0.139215,0.548727,2.131425,8.066653,29.126347,97.515639,299.057642,815.583194,1993.737986,4486.308114,3.122731,8.760629,24.403663,67.004863,179.541255,462.526986,1138.003463,2638.819661,5800.546445,12256.17633,1
0.120974,0.051591,0.000467,1.615089,81.898691,-3.954681,-1.303935,0.036766,1.49951,0.146967,6.342754,0.048273,0.000461,0.000024,0.146967,-0.013991,3.480532,0.525418,0.019647,523.400415,0.0283,0.001059,0.343535,0.046997,0.075369,8.18252,10.08076,6.489298,-2.460165,-1.807206,0.000506,2.516141,6.342754,0.000211,0.000571,0.00112,-13531.52039,-27242.67645,-29316.2891,-235132.1598,-575399.6554,-3456.467549,-866.673279,-202.181331,47.413688,85.246821,35.603953,25.764729,7.1862,70.883574,196.911333,392.530581,2572.237881,6590.444704,295.731304,605.033852,1479.445979,7530.494935,22047.62212,0.000006,0.000016,0.000032,0.000033,0.068595,0.167486,0.000103,0.001043,0.002878,0.008482,-504062.7889,-663670.4986,-945656.8728,-1504449.919,-2653868.191,-5058435.673,4115.726487,2442.764647,1439.578978,857.232234,528.281201,347.51561,247.451051,196.725365,173.441113,165.263298,0.122111,0.47791,1.849349,6.997427,25.25357,84.474487,258.859093,705.476827,1722.735569,3872.085842,2.705121,7.6267,21.210394,58.065917,155.534211,400.434474,989.75763,2294.973492,5041.272094,10637.12653,1
0.05126,0.022174,0.000222,0.937618,53.116588,-4.180917,-1.563061,-0.128251,1.467576,0.068195,3.47953,0.022819,0.000223,0.000004,0.068195,-0.04347,1.03768,0.614357,0.004049,102.469388,0.32458,0.015375,0.65978,0.065154,0.103618,7.3385,7.671986,8.069937,-1.08946,-1.223613,-0.001257,1.275591,3.47953,0.00003,0.000076,0.000188,-1990.21565,-5355.617806,-7239.500594,-63837.82429,-170644.4648,-2629.102642,-672.413539,-230.885406,-31.826867,-3.790983,33.566127,23.219285,0.984152,8.663822,31.650299,150.476148,561.359955,1411.002204,38.654817,119.131998,317.63867,1900.38308,4918.210338,0.000001,0.000003,0.000007,0.000014,0.020312,0.049488,0.000021,0.00018,0.000651,0.002467,-500334.5024,-658222.0851,-937651.1769,-1491278.953,-2630240.018,-5013708.379,4110.417775,2440.014724,1438.112428,856.410673,527.783565,347.181733,247.224351,196.552077,173.295893,165.134268,0.11604,0.458428,1.783975,6.75173,24.380353,81.644722,250.485608,683.480077,1671.675409,3763.603716,2.61543,7.322258,20.410949,56.114797,150.330844,387.35581,951.158089,2205.818595,4850.665179,10252.88279,1
0.074303,0.032412,0.0003,0.899765,53.112438,-3.820089,-1.417787,0.10713,1.55647,0.076363,3.585435,0.033712,0.000304,0.000011,0.076363,-0.028919,1.409738,0.57187,0.002995,25339.55224,0.116275,0.008175,0.480169,0.103179,0.121069,6.238813,2.843109,7.847151,0.475091,-0.190693,-0.000708,1.35226,3.585435,0.000014,0.000099,0.000141,-2811.968726,-2244.10924,-7633.771336,-8271.95843,-15286.41751,-2746.122539,-697.201957,-173.279781,13.483492,38.400616,35.605249,29.44567,0.329135,14.248403,23.470236,63.126882,150.743097,367.317003,55.539419,38.685571,171.677856,351.359456,636.3919,0.000001,0.000003,0.000005,0.000007,0.011553,0.074615,0.000008,0.000295,0.000454,0.000753,-497650.9303,-653884.3412,-929705.8773,-1475800.514,-2598840.681,-4948508.932,4107.26528,2438.353463,1437.194494,855.863228,527.422418,346.913469,246.996984,196.346029,173.100493,164.943775,0.11711,0.461201,1.780859,6.74841,24.387705,81.639284,250.345199,682.841934,1669.35655,3756.441032,2.628073,7.37421,20.500366,56.055009,150.336868,387.231601,952.654189,2209.612202,4857.315269,10260.45388,1
0.038053,0.032383,0.000356,0.969886,16.36273,-0.971463,-0.401858,-0.024608,0.407607,0.06941,3.848936,0.031315,0.000347,0.000004,0.06941,-0.080098,2.379408,0.662445,0,5131.789021,6.399418,1.380455,6.460877,0.200947,0.174849,6.697775,6.833552,8.091481,0.561844,0.431839,-0.000475,1.292834,3.848936,0.000101,0.000068,0.000094,-72.945601,-246.276293,-2170.824184,-4301.14643,-5864.203971,-3402.137064,-953.132787,-256.020546,-51.797883,1.609099,23.289583,19.978586,1.003486,2.654994,5.152249,35.645851,61.444136,82.79569,9.601035,8.933787,73.449321,135.804982,166.293807,0.000004,0.000003,0.000004,0.000018,0.042801,0.030401,0.000066,0.000176,0.000365,0.00062,-370093.3111,-489814.4675,-701785.4655,-1122155.285,-1987986.31,-3802056.84,3843.176681,2304.522437,1368.496138,819.731333,507.571151,335.201896,239.485042,190.933249,168.73651,161.103555,0.090527,0.358131,1.396668,5.276431,19.034387,63.735402,195.492337,533.134804,1303.229627,2932.332813,2.029809,5.678949,15.928241,43.833733,117.33472,302.230108,743.765988,1725.581934,3793.214019,8013.773417,1
