@relation R_data_frame

@attribute Jitter->F0_abs_dif numeric
@attribute Jitter->F0_dif_percent numeric
@attribute Jitter->F0_PQ5_classical_Schoentgen numeric
@attribute Jitter->F0_abs0th_perturb numeric
@attribute Jitter->F0_TKEO_mean numeric
@attribute Jitter->F0_TKEO_prc5 numeric
@attribute Jitter->F0_TKEO_prc25 numeric
@attribute Jitter->F0_TKEO_prc75 numeric
@attribute Jitter->F0_TKEO_prc95 numeric
@attribute Jitter->F0_FM numeric
@attribute Jitter->F0range_5_95_perc numeric
@attribute Jitter->pitch_percent numeric
@attribute Jitter->pitch_PQ5_classical_Schoentgen numeric
@attribute Jitter->pitch_CV numeric
@attribute Jitter->pitch_FM numeric
@attribute Shimmer->Ampl_TKEO_prc25 numeric
@attribute HNR->HNR_dB_Praat_std numeric
@attribute DFA numeric
@attribute PPE numeric
@attribute VFER->SNR_SEO numeric
@attribute IMF->SNR_SEO numeric
@attribute IMF->SNR_TKEO numeric
@attribute IMF->SNR_entropy numeric
@attribute IMF->NSR_SEO numeric
@attribute IMF->NSR_entropy numeric
@attribute 'Log energy' numeric
@attribute 'MFCC_0th coef' numeric
@attribute 'MFCC_1st coef' numeric
@attribute 'MFCC_2nd coef' numeric
@attribute 'MFCC_3rd coef' numeric
@attribute '12th delta' numeric
@attribute std_F0_series_F0_expTitze numeric
@attribute prc95_5_F0_series_F0_expTitze numeric
@attribute Ed_3_coef numeric
@attribute Ed_5_coef numeric
@attribute Ed_6_coef numeric
@attribute entropy_shannon_5_coef numeric
@attribute entropy_shannon_6_coef numeric
@attribute entropy_shannon_8_coef numeric
@attribute entropy_shannon_9_coef numeric
@attribute entropy_shannon_10_coef numeric
@attribute entropy_log_2_coef numeric
@attribute entropy_log_3_coef numeric
@attribute entropy_log_4_coef numeric
@attribute entropy_log_5_coef numeric
@attribute entropy_log_6_coef numeric
@attribute entropy_log_8_coef numeric
@attribute entropy_log_9_coef numeric
@attribute det_TKEO_mean_3_coef numeric
@attribute det_TKEO_mean_5_coef numeric
@attribute det_TKEO_mean_6_coef numeric
@attribute det_TKEO_mean_8_coef numeric
@attribute det_TKEO_mean_9_coef numeric
@attribute det_TKEO_mean_10_coef numeric
@attribute det_TKEO_std_5_coef numeric
@attribute det_TKEO_std_6_coef numeric
@attribute det_TKEO_std_8_coef numeric
@attribute det_TKEO_std_9_coef numeric
@attribute det_TKEO_std_10_coef numeric
@attribute Ed2_3_coef numeric
@attribute Ed2_5_coef numeric
@attribute Ed2_6_coef numeric
@attribute Ed2_8_coef numeric
@attribute entropy_shannon3_3_coef numeric
@attribute entropy_shannon3_5_coef numeric
@attribute det_TKEO_mean3_3_coef numeric
@attribute det_TKEO_mean3_5_coef numeric
@attribute det_TKEO_mean3_6_coef numeric
@attribute det_TKEO_std3_6_coef numeric
@attribute entropy_shannon4_5_coef numeric
@attribute entropy_shannon4_6_coef numeric
@attribute entropy_shannon4_7_coef numeric
@attribute entropy_shannon4_8_coef numeric
@attribute entropy_shannon4_9_coef numeric
@attribute entropy_shannon4_10_coef numeric
@attribute entropy_log4_1_coef numeric
@attribute entropy_log4_2_coef numeric
@attribute entropy_log4_3_coef numeric
@attribute entropy_log4_4_coef numeric
@attribute entropy_log4_5_coef numeric
@attribute entropy_log4_6_coef numeric
@attribute entropy_log4_7_coef numeric
@attribute entropy_log4_8_coef numeric
@attribute entropy_log4_9_coef numeric
@attribute entropy_log4_10_coef numeric
@attribute det_TKEO_mean4_1_coef numeric
@attribute det_TKEO_mean4_2_coef numeric
@attribute det_TKEO_mean4_3_coef numeric
@attribute det_TKEO_mean4_4_coef numeric
@attribute det_TKEO_mean4_5_coef numeric
@attribute det_TKEO_mean4_6_coef numeric
@attribute det_TKEO_mean4_7_coef numeric
@attribute det_TKEO_mean4_8_coef numeric
@attribute det_TKEO_mean4_9_coef numeric
@attribute det_TKEO_mean4_10_coef numeric
@attribute det_TKEO_std4_1_coef numeric
@attribute det_TKEO_std4_2_coef numeric
@attribute det_TKEO_std4_3_coef numeric
@attribute det_TKEO_std4_4_coef numeric
@attribute det_TKEO_std4_5_coef numeric
@attribute det_TKEO_std4_6_coef numeric
@attribute det_TKEO_std4_7_coef numeric
@attribute det_TKEO_std4_8_coef numeric
@attribute det_TKEO_std4_9_coef numeric
@attribute det_TKEO_std4_10_coef numeric
@attribute class {1,2}

@data
0.088112,0.041697,0.00048,2.458381,47.021079,-7.103323,-2.687924,-0.035674,2.849068,0.042287,9.116401,0.04192,0.000482,0.000001,0.042287,-0.057768,1.256612,0.664873,0.001055,535.937072,2.049552,0.422025,2.621502,0.168538,0.169427,6.419479,7.673133,6.885523,-0.623816,-0.241969,0.001648,2.863953,9.116401,0.000014,0.000084,0.000392,-978.179117,-6262.174583,-5389.818593,-18206.62053,-138456.2127,-2297.164786,-538.933783,-82.77399,12.369696,38.294372,20.850136,30.703709,0.342469,8.387436,66.036075,57.601336,533.857918,1794.712582,19.79354,101.353691,147.035242,1021.09278,4162.827266,0.000001,0.000003,0.000014,0.000009,0.010413,0.046818,0.000008,0.000194,0.001499,0.002346,-481323.9141,-633245.6446,-901856.901,-1433921.42,-2528415.988,-4819157.284,4076.864063,2422.969509,1429.320757,851.74552,525.181116,345.610973,246.183529,195.776526,172.652511,164.557388,0.112549,0.443874,1.728619,6.539524,23.606344,79.049121,242.544297,661.679929,1618.318338,3643.234312,2.527583,7.088978,19.753255,54.335046,145.52863,375.097397,921.296579,2137.079844,4697.131077,9931.208257,1
0.055767,0.025802,0.000285,1.155191,47.307997,-4.919125,-1.862572,-0.061888,1.99664,0.035252,4.62327,0.025974,0.000286,0.000001,0.035252,-0.026028,1.34259,0.555965,0.001055,1638.078838,0.167132,0.035318,0.658916,0.091314,0.114684,5.797481,3.97736,6.776509,-1.371082,0.196115,0.000298,1.427974,4.62327,0.000009,0.000042,0.000067,-667.480913,-1254.814026,-6801.915895,-4985.067448,-47767.3208,-2684.559906,-647.375423,-167.911843,-23.021889,-0.906342,18.575242,12.474881,0.248404,4.056456,14.37604,41.423224,100.99792,419.687192,15.025956,31.389175,169.098907,218.511097,1543.853909,0,0.000002,0.000002,0.000012,0.007234,0.029654,0.000006,0.00009,0.000316,0.000699,-486271.8127,-639921.339,-911643.6055,-1449965.077,-2557389.759,-4875018.46,4085.386078,2427.313221,1431.575152,852.954776,525.868849,346.0372,246.472438,195.996783,172.838387,164.725535,0.114103,0.450214,1.748298,6.618149,23.902545,80.034652,245.45574,669.55668,1637.180444,3684.791081,2.565053,7.190456,20.027376,54.98401,147.380361,379.623517,933.131317,2164.248742,4757.142198,10054.33753,1
0.056384,0.034609,0.000402,0.887822,29.227252,-2.755049,-1.155857,-0.017892,1.057191,0.021169,4.14252,0.034566,0.000402,0,0.021169,-0.022995,2.467823,0.545134,0.001055,485.324205,0.774635,0.224903,1.139814,0.103889,0.132141,6.699781,6.305889,7.647624,-1.151929,-1.397995,-0.002387,1.150952,4.14252,0.000002,0.000074,0.000104,-340.577285,-921.622295,-1840.032175,-1095.694376,-3615.725313,-3130.740047,-858.661639,-157.94451,17.39075,22.906811,13.899891,14.440285,0.031599,4.04101,8.776166,31.253088,35.935091,112.562049,6.893151,15.544166,58.736212,43.085605,240.848068,0,0.000003,0.000004,0.000007,0.001312,0.047593,0.000001,0.000152,0.000331,0.000588,-429711.5716,-566442.0649,-808018.2903,-1286580.744,-2271402.412,-4332989.986,3976.611051,2372.126704,1403.183197,837.960243,517.572197,341.089237,243.247737,193.633656,170.906261,163.007549,0.102812,0.405796,1.581061,5.978404,21.579715,72.260393,221.597568,604.307917,1477.178298,3323.465305,2.305432,6.473155,18.055198,49.670166,133.052885,342.674242,843.295882,1956.071253,4300.675677,9080.106603,1
0.073958,0.053153,0.000492,1.052821,29.619885,-3.075305,-1.267785,-0.071293,1.150658,0.103869,3.863584,0.051169,0.000487,0.000017,0.103869,-0.140514,1.831602,0.700944,0.006064,4197.822715,2.710648,0.440975,2.864904,0.201976,0.189261,6.576657,5.571928,7.83097,2.395667,-0.333434,-0.000168,1.45105,3.863584,0.000117,0.000196,0.000166,-693.774172,-629.929928,-1794.073053,-11950.95158,-2902.044296,-2953.511829,-671.568016,-129.534652,15.811703,18.992177,14.871197,28.216186,1.385144,9.273801,16.32104,55.5372,274.56264,108.723317,27.364226,18.885999,91.527748,434.604202,151.658722,0.000004,0.000008,0.000007,0.000012,0.04392,0.083959,0.000056,0.000438,0.00083,0.000957,-400412.3544,-528883.943,-756035.9809,-1206272.665,-2133107.758,-4074239.449,3913.291169,2340.054491,1386.735019,829.325137,512.840788,338.309228,241.472244,192.360564,169.883465,162.110582,0.097133,0.38269,1.498934,5.661093,20.412032,68.320437,209.515225,571.298443,1396.024422,3140.513813,2.176492,6.117975,17.057859,47.036,125.735278,323.943177,797.540738,1850.474413,4066.047281,8590.590793,1
0.055387,0.032875,0.000363,1.002521,29.150372,-4.115433,-1.547297,-0.013166,1.581086,0.049017,3.690113,0.033259,0.000364,0.000002,0.049017,-0.058664,1.548891,0.633996,0.002995,2939.224513,5.207703,1.20375,4.407101,0.163994,0.165734,5.37563,2.29653,7.978674,0.867157,0.331819,-0.001106,1.219552,3.690113,0.000014,0.000085,0.000139,-865.383845,-1531.609315,-10773.34833,-22264.98276,-39242.99625,-2670.134633,-680.190371,-174.641385,-55.022981,-4.866149,21.022527,4.383046,0.241694,4.528664,14.506126,88.98997,304.262608,435.608794,19.439033,27.807477,272.702766,811.63137,1344.188122,0.000001,0.000003,0.000006,0.000025,0.010491,0.052497,0.000009,0.000169,0.000533,0.00106,-436135.8099,-574713.436,-819750.5474,-1305232.37,-2304346.825,-4396132.249,3989.830248,2378.825506,1406.62161,839.768664,518.566449,341.676384,243.632312,193.917606,171.140405,163.218006,0.10337,0.408015,1.585596,6.001887,21.676341,72.579134,222.618752,607.378146,1485.478918,3344.006927,2.32682,6.517436,18.154113,49.872056,133.666996,344.225363,845.18643,1961.348153,4313.36002,9115.227753,1
0.057697,0.030871,0.000348,1.636814,37.487626,-3.718102,-1.229536,-0.034559,1.220675,0.04526,6.446063,0.030877,0.000348,0.000001,0.04526,-0.059182,1.518759,0.608921,0.00211,1474.270647,0.457752,0.169006,1.262054,0.163963,0.173752,7.819121,8.378009,8.483529,-0.561885,-0.274607,-0.000772,2.047226,6.446063,0.000015,0.000052,0.000147,-403.811741,-1846.162617,-2840.55327,-3077.00533,-9555.51813,-2937.502263,-710.153876,-187.69103,11.029424,35.015471,4.668336,-2.686108,0.305415,2.897512,20.866912,83.111108,44.636394,215.939813,7.123336,28.511871,141.440991,137.264577,434.176911,0.000001,0.000002,0.000006,0.00001,0.009834,0.034942,0.000009,0.000084,0.000606,0.000832,-457239.4063,-602715.7243,-860211.6528,-1370584.965,-2420954.85,-4619786.54,4030.208954,2399.359066,1417.232487,845.418511,521.735354,343.605542,244.919448,194.88314,171.944592,163.941275,0.108323,0.427063,1.662155,6.289641,22.709548,76.046091,233.257845,636.211975,1555.465914,3500.808607,2.434264,6.824487,19.005115,52.265383,140.028498,360.791891,887.087032,2057.468659,4522.87418,9556.070194,1
0.055473,0.017125,0.000196,0.996306,106.171564,-9.468112,-3.719077,0.017768,3.844291,0.015131,4.034892,0.017161,0.000196,0,0.015131,-0.050485,1.495286,0.58035,0,1315.325379,0.546854,0.048505,1.138211,0.13748,0.149516,8.124634,11.409535,5.82277,-0.836237,-0.950419,0.001055,1.24622,4.034892,0.000003,0.000008,0.000037,-109.817692,-1243.895661,-1187.49939,-10585.38122,-8931.973108,-2343.368029,-550.714783,-175.203994,-17.314801,27.063486,23.522634,29.73642,0.198685,1.484429,14.896595,21.331486,244.023175,267.679781,3.22146,27.104279,42.051562,409.720916,353.140259,0,0,0.000001,0.000001,0.002979,0.006965,0.000002,0.000014,0.000142,0.000259,-573842.7343,-753406.3525,-1070943.192,-1699959.282,-2993370.07,-5698296.076,4231.524233,2501.451325,1469.71309,873.092351,537.005697,352.673497,250.78372,199.145682,175.40646,167.002675,0.132229,0.521332,2.024462,7.662377,27.668071,92.62966,284.085937,774.832985,1894.302507,4262.694853,2.967086,8.323533,23.185868,63.649792,170.552683,439.295937,1080.760424,2506.743051,5510.931862,11641.30319,1
0.086124,0.023109,0.000267,2.435562,142.243259,-15.833261,-6.119039,0.315482,6.145468,0.020563,9.496845,0.023175,0.000267,0,0.020563,-0.036157,2.390913,0.562435,0,18219.77197,0.232465,0.033328,0.583846,0.113193,0.126925,5.109862,-1.215365,6.36169,1.727175,-0.254183,0.002309,2.931546,9.496845,0.00001,0.000011,0.000053,-389.873776,-1912.68903,-18588.83159,-6271.554316,-7411.378304,-2200.677577,-471.07177,-106.652305,-1.834115,21.833073,47.769771,33.67802,0.799724,4.367582,18.052562,358.724377,223.034633,200.718235,9.370735,30.842715,471.139033,235.160661,356.690379,0,0,0.000002,0.000007,0.007542,0.010771,0.000006,0.000032,0.000131,0.000223,-606416.896,-795922.8688,-1131236.447,-1795625.481,-3161689.479,-6018060.213,4279.795804,2525.96199,1482.343219,879.782018,540.725377,354.908178,252.251761,200.230639,176.299746,167.800026,0.139006,0.548065,2.126286,8.048879,29.067201,97.313297,298.403075,813.864319,1989.67341,4477.13012,3.118557,8.74815,24.369279,66.855762,179.184204,461.502976,1135.421005,2633.843153,5789.609025,12229.22822,1
0.051124,0.033907,0.000402,3.044908,19.530059,-1.944518,-0.843597,-0.001351,0.787236,0.127995,18.723688,0.036932,0.000436,0.000001,0.127995,-0.05442,4.07461,0.586183,0,12142.53057,1.380735,0.466416,1.939221,0.114358,0.130654,7.141573,6.659267,9.160385,-0.511285,-0.466044,0.001819,6.436801,18.723688,0.000011,0.000037,0.00013,-60.610078,-580.642027,-26182.01659,-261552.4613,-333424.6578,-2964.581021,-812.846791,-235.569415,-49.293731,-12.587285,10.970352,43.906013,0.110708,0.868893,6.867573,599.679731,3450.264892,6377.339227,3.177755,14.314679,2269.719998,7953.738472,12001.88973,0,0.000001,0.000005,0.000212,0.007705,0.01766,0.000007,0.00004,0.000346,0.000741,-408078.3504,-532210.0911,-748465.2694,-1174086.79,-2047511.614,-3874197.855,3944.687876,2355.353987,1393.985468,832.549164,514.05456,338.518595,241.17003,191.803239,169.201634,161.367705,0.095176,0.375564,1.459852,5.52321,19.944841,66.798777,204.923003,559.153871,1367.78154,3077.586965,2.136191,5.991343,16.70924,45.892952,122.98758,316.952019,779.478764,1808.116548,3977.538101,8397.71583,1
0.053582,0.021769,0.000259,1.304355,62.961024,-5.463039,-2.227694,-0.018518,2.426269,0.016948,5.488226,0.021785,0.00026,0,0.016948,-0.031776,1.374009,0.599391,0,13264.54645,1.629013,0.527759,2.039296,0.169081,0.167083,8.27617,9.835626,6.146995,1.310453,-0.139919,-0.000052,1.638255,5.488226,0.000001,0.000023,0.000049,-232.726135,-621.580819,-2205.915167,-2379.115479,-1693.669743,-2667.099083,-689.122887,-218.529021,-25.91002,10.34522,12.728421,14.819361,0.010601,1.486749,12.269467,47.631735,49.303448,29.974172,3.327049,21.122076,126.395895,74.005578,77.029627,0,0.000001,0.000002,0.000005,0.000617,0.017115,0,0.000025,0.000203,0.000349,-513624.585,-675456.4056,-961573.235,-1528349.306,-2694123.295,-5133101.229,4133.508997,2451.732934,1444.142897,859.596205,529.546276,348.232481,247.899095,197.038574,173.687824,165.478105,0.120296,0.474177,1.842602,6.972526,25.173463,84.278915,258.4695,704.904786,1723.142717,3877.192371,2.697819,7.571238,21.087338,57.915541,155.161535,399.706778,983.649874,2280.576596,5013.489461,10590.57801,1
